Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
mesothelioma lawsuits,0.79,5400,-,4400,5400,4400,3600,3600,3600,4400,3600,2900,8100,2400,-,-,$87.19,-,4400
mesothelioma lawsuit,0.77,4400,-,3600,3600,3600,2400,2900,2400,3600,2900,2400,8100,1900,-,-,$65.14,-,3600
asbestos mesothelioma lawsuit,0.72,1000,-,590,880,880,590,1000,880,1000,720,480,590,480,-,-,$41.92,-,720
mesothelioma asbestos lawsuits,0.72,1000,-,590,880,880,590,1000,880,1000,720,480,590,480,-,-,$0.05,-,720
mesothelioma attorneys,0.86,49500,-,22200,27100,27100,22200,27100,27100,27100,27100,74000,49500,22200,-,-,$61.70,-,33100
mesothelioma lawyer,0.85,18100,-,9900,9900,9900,8100,9900,12100,9900,9900,9900,18100,8100,-,-,$52.95,-,9900
mesothelioma law,0.82,4400,-,3600,4400,4400,2900,2400,2400,3600,2900,2900,3600,2900,-,-,$47.30,-,2900
mesothelioma,0.88,246000,-,135000,135000,135000,110000,110000,110000,135000,135000,201000,246000,110000,-,-,$150.21,-,135000
mesothelioma lawyers,0.86,49500,-,22200,27100,27100,22200,27100,27100,27100,27100,74000,49500,22200,-,-,$76.63,-,33100
mesothelioma attorney,0.84,14800,-,8100,8100,8100,6600,8100,9900,8100,9900,8100,14800,5400,-,-,$55.59,-,8100
mesothelioma lawsuit settlements,0.86,390,-,260,260,210,210,720,390,590,480,260,260,140,-,-,$0.05,-,320
asbestos lawsuit,0.78,3600,-,2900,3600,2900,2400,3600,2900,3600,2900,2400,2900,2400,-,-,$43.19,-,2900
asbestos litigation,0.75,2900,-,1900,2400,2900,2400,1900,2400,2400,1900,2400,2900,2900,-,-,$29.52,-,2400
cancer lawsuit lawyer mesothelioma,0.6,260,-,170,260,260,210,320,210,390,210,140,170,110,-,-,$0.05,-,210
asbestos cancer law lawsuit mesothelioma,0.57,170,-,110,260,210,170,170,140,110,140,110,110,73,-,-,$0.05,-,140
