Keyword	Competition	Global Monthly Searches	Jan 2011	Dec 2010	Nov 2010	Oct 2010	Sep 2010	Aug 2010	Jul 2010	Jun 2010	May 2010	Apr 2010	Mar 2010	Feb 2010	Ad Share	Search Share	Estimated Avg. CPC	Extracted From Webpage	Local Monthly Searches
cancer research	0.33	368000	-	110000	135000	135000	135000	110000	90500	90500	110000	135000	135000	110000	-	-	$3.49	-	110000
clinical cancer research	0.21	12100	-	4400	4400	4400	4400	4400	4400	3600	3600	3600	4400	3600	-	-	$2.10	-	4400
breast cancer research	0.41	27100	-	14800	14800	27100	14800	9900	9900	9900	12100	14800	12100	12100	-	-	$2.07	-	14800
cancer research journal	0.1	9900	-	3600	3600	4400	4400	4400	3600	2900	2900	3600	3600	3600	-	-	$1.12	-	3600
cancer research institute	0.16	22200	-	8100	8100	8100	8100	8100	6600	8100	8100	9900	12100	8100	-	-	$1.88	-	8100
ovarian cancer research	0.45	2900	-	1900	2400	2400	2900	2400	2400	1900	1900	2400	2400	2400	-	-	$2.20	-	2400
cancer research funding	0.47	1900	-	1300	1600	2400	1600	1000	1000	880	1300	1300	1600	1000	-	-	$2.66	-	1300
cancer research foundation	0.29	9900	-	8100	6600	9900	8100	6600	6600	6600	6600	8100	8100	6600	-	-	$1.75	-	8100
lung cancer research	0.64	2900	-	1900	2400	2900	1900	1300	1300	1300	1900	2400	1900	1600	-	-	$2.29	-	1900
cancer research charity	0.56	2400	-	720	590	590	480	480	480	480	480	590	590	390	-	-	$6.56	-	480
pancreatic cancer research	0.52	1900	-	1600	1600	1600	1600	1300	1300	1000	1300	1300	1600	1300	-	-	$2.43	-	1300
prostate cancer research	0.59	3600	-	1900	1900	1600	1600	1600	1300	1300	1900	1900	1900	1600	-	-	$4.84	-	1600
cancer research donations	0.64	2400	-	1600	1300	1300	1000	1000	1000	1000	1300	1300	1300	1000	-	-	$4.60	-	1300
skin cancer research	0.51	1300	-	720	880	880	590	390	480	390	590	720	720	590	-	-	$2.27	-	590
colon cancer research	0.69	1000	-	880	1000	880	720	590	720	590	720	880	880	720	-	-	$2.38	-	720
ovarian cancer research fund	0.36	1600	-	1000	1000	1300	1600	1300	1300	1000	1000	1300	1000	1000	-	-	$2.74	-	1300
brain cancer research	0.5	1900	-	1300	1600	1600	1300	1000	1300	1000	1600	1600	1600	1300	-	-	$1.79	-	1300
cancer research charities	0.61	2900	-	1000	880	880	720	720	720	590	590	720	720	480	-	-	$4.62	-	720
cancer research jobs	0.4	5400	-	720	720	720	880	720	590	720	720	720	880	720	-	-	$3.75	-	720
american institute for cancer research	0.14	3600	-	1900	2900	2400	2400	2400	1900	1900	2400	3600	4400	2900	-	-	$1.33	-	2900
cancer research center	0.11	22200	-	14800	14800	14800	14800	14800	12100	14800	14800	14800	18100	14800	-	-	$1.44	-	14800
bone cancer research	0.53	590	-	320	320	260	170	170	210	210	210	320	320	210	-	-	$1.40	-	260
molecular cancer research	0.1	2400	-	880	1000	880	880	720	720	720	880	1000	880	880	-	-	$2.14	-	880
donate to cancer research	0.68	1300	-	1000	720	1300	720	720	720	480	720	720	720	720	-	-	$4.21	-	720
cancer research grants	0.44	1600	-	1300	1300	1600	1300	1000	1000	880	1000	1000	1300	1000	-	-	$1.95	-	1000
cancer research fundraising	0.61	880	-	260	210	260	260	170	170	110	140	210	210	170	-	-	$6.04	-	210
cancer research donation	0.66	880	-	720	590	590	480	480	480	390	480	480	480	320	-	-	$3.31	-	480
fred hutchinson cancer research center	0.03	8100	-	6600	6600	6600	6600	6600	5400	6600	6600	6600	8100	6600	-	-	$0.31	-	6600
new cancer research	0.43	2400	-	1300	1600	1600	1300	1000	880	1300	1300	1300	1600	1300	-	-	$1.61	-	1300
donate cancer research	0.67	2400	-	1600	1300	1900	1300	1300	1000	880	1300	1300	1300	1000	-	-	$5.87	-	1300
cancer research information	0.51	590	-	320	320	260	260	210	170	170	260	260	260	260	-	-	$5.94	-	260
cancer research society	0.16	2900	-	1300	1300	1600	1600	1300	1300	1300	1300	2400	2400	1600	-	-	$2.10	-	1600
breast cancer research foundation	0.38	2900	-	2400	2400	5400	3600	1900	1600	1900	2400	2400	1900	1900	-	-	$1.30	-	2400
cancer research centers	0.14	22200	-	14800	14800	18100	14800	14800	14800	14800	14800	14800	18100	14800	-	-	$1.24	-	14800
cancer prevention research	0.16	2900	-	1600	1900	1900	1900	1300	1300	1300	1000	1900	1600	1300	-	-	$2.95	-	1600
cervical cancer research	0.53	1000	-	480	390	480	320	210	210	260	390	480	480	260	-	-	$1.67	-	320
breast cancer research and treatment	0.16	2900	-	880	880	1000	1000	880	1000	880	880	880	1000	880	-	-	$4.17	-	880
american association for cancer research	0.07	2900	-	1600	1900	1900	1900	1600	1300	1600	1600	2900	1900	1900	-	-	$2.65	-	1900
cancer research donate	0.67	2400	-	1600	1300	1900	1300	1300	1000	880	1300	1300	1300	1000	-	-	$0.00	-	1300
latest cancer research	0.67	1000	-	720	590	720	720	480	480	390	480	480	480	480	-	-	$2.20	-	590
colorectal cancer research	0.5	480	-	260	320	320	260	320	210	170	320	320	320	260	-	-	$1.69	-	260
charity cancer research	0.56	2400	-	720	590	590	480	480	480	480	480	590	590	390	-	-	$0.00	-	480
cancer research campaign	0.35	590	-	91	110	91	58	73	58	73	91	73	73	58	-	-	$3.71	-	73
cancer research breast	0.41	27100	-	14800	14800	27100	14800	9900	9900	9900	12100	14800	12100	12100	-	-	$0.00	-	14800
national cancer research	0.2	4400	-	2400	2400	2400	2400	2400	1900	2400	2400	2900	3600	2900	-	-	$2.58	-	2400
