Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
dui,0.46,1500000,-,1220000,1220000,1220000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,823000,-,-,$12.15,-,1220000
dui laws,0.65,49500,-,49500,49500,49500,49500,49500,49500,40500,49500,49500,49500,49500,-,-,$7.41,-,49500
dui penalties,0.61,18100,-,14800,18100,14800,14800,14800,14800,14800,18100,18100,18100,14800,-,-,$10.48,-,18100
dui attorney,0.63,135000,-,90500,135000,201000,201000,246000,246000,74000,74000,74000,74000,60500,-,-,$28.06,-,135000
dui statistics,0.39,8100,-,6600,9900,8100,6600,3600,4400,4400,8100,9900,8100,6600,-,-,$3.64,-,6600
dui lawyer,0.65,110000,-,90500,135000,165000,165000,201000,201000,60500,60500,60500,60500,60500,-,-,$27.72,-,110000
dui lawyers,0.81,33100,-,33100,33100,27100,27100,33100,27100,27100,33100,27100,49500,22200,-,-,$28.71,-,33100
dui charges,0.65,9900,-,5400,6600,5400,6600,6600,6600,6600,9900,9900,12100,9900,-,-,$6.71,-,8100
dui consequences,0.53,2900,-,2900,3600,2900,2900,2400,2400,2400,2900,2900,2900,2400,-,-,$6.84,-,2900
dui attorneys,0.68,201000,-,135000,201000,246000,246000,301000,301000,110000,135000,110000,135000,110000,-,-,$34.88,-,165000
dui defense,0.69,14800,-,18100,33100,22200,12100,14800,9900,12100,12100,12100,9900,9900,-,-,$25.50,-,14800
dui felony,0.39,14800,-,14800,14800,18100,18100,12100,12100,12100,12100,12100,14800,12100,-,-,$8.13,-,14800
dui classes,0.75,9900,-,9900,9900,12100,12100,12100,12100,9900,9900,9900,9900,9900,-,-,$4.18,-,9900
dui checkpoints,0.34,40500,-,110000,40500,33100,60500,40500,49500,22200,49500,22200,27100,14800,-,-,$2.01,-,40500
dui arrest,0.42,14800,-,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,-,-,$3.36,-,14800
dui vs dwi,0.42,3600,-,4400,5400,3600,5400,2900,2900,2900,2900,2900,3600,2900,-,-,$8.95,-,3600
dui law,0.63,74000,-,74000,74000,74000,74000,60500,60500,60500,60500,74000,74000,60500,-,-,$8.35,-,74000
dui arrest records,0.66,2900,-,2400,2900,2400,2900,2900,2900,3600,2900,2900,2400,2400,-,-,$0.05,-,2900
san diego dui attorney,0.87,9900,-,9900,9900,9900,6600,8100,9900,9900,8100,8100,6600,6600,-,-,$38.67,-,8100
dui school,0.58,14800,-,12100,14800,14800,14800,14800,14800,12100,12100,12100,14800,12100,-,-,$6.04,-,14800
dui information,0.61,1300,-,1300,1300,1300,1600,1000,1000,880,1000,1300,1300,1300,-,-,$5.66,-,1300
dui help,0.64,1300,-,1000,1300,1300,1600,1300,1000,880,1000,1000,1300,1300,-,-,$4.78,-,1300
is a dui a felony,0.34,6600,-,6600,6600,9900,9900,5400,5400,4400,4400,4400,5400,5400,-,-,$4.47,-,5400
