Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
car accident lawyer,0.83,450000,-,450000,550000,450000,368000,450000,368000,368000,368000,368000,368000,246000,-,-,$29.00,-,368000
car accident lawyers,0.84,450000,-,450000,550000,368000,368000,368000,301000,368000,368000,368000,301000,246000,-,-,$29.62,-,368000
car accidents lawyers,0.81,74000,-,49500,60500,74000,60500,74000,60500,60500,60500,60500,49500,40500,-,-,$32.67,-,60500
car accidents lawyer,0.8,90500,-,74000,90500,90500,74000,90500,74000,90500,74000,90500,60500,49500,-,-,$13.56,-,74000
atlanta car accident lawyer,0.85,12100,-,12100,22200,33100,14800,9900,6600,6600,6600,5400,5400,3600,-,-,$42.34,-,9900
car accident injury lawyer,0.8,1600,-,1900,1000,1300,1300,1300,1000,1900,1000,1000,720,720,-,-,$31.55,-,1000
los angeles car accident lawyer,0.8,12100,-,14800,9900,8100,8100,9900,9900,9900,9900,9900,12100,9900,-,-,$55.52,-,9900
new york car accident lawyer,0.88,9900,-,8100,8100,8100,8100,6600,8100,8100,8100,8100,9900,8100,-,-,$31.49,-,8100
auto accident lawyer,0.83,450000,-,450000,550000,450000,368000,450000,368000,368000,368000,368000,368000,246000,-,-,$28.76,-,368000
accident lawyer,0.78,165000,-,165000,246000,165000,135000,165000,135000,135000,135000,135000,110000,90500,-,-,$27.05,-,135000
car accident attorney,0.8,90500,-,74000,90500,90500,74000,90500,74000,74000,74000,74000,60500,49500,-,-,$30.76,-,74000
san diego car accident lawyer,0.74,6600,-,5400,5400,6600,5400,9900,8100,6600,5400,8100,8100,4400,-,-,$22.21,-,6600
accident lawyers,0.82,60500,-,49500,60500,74000,60500,60500,49500,49500,49500,49500,49500,40500,-,-,$29.98,-,49500
automobile accident lawyer,0.84,550000,-,550000,673000,550000,450000,450000,450000,450000,450000,450000,368000,301000,-,-,$35.62,-,450000
auto accident lawyers,0.84,450000,-,450000,550000,450000,450000,450000,368000,368000,368000,368000,368000,301000,-,-,$37.03,-,368000
car accident attorneys,0.84,450000,-,450000,550000,368000,368000,368000,301000,368000,368000,368000,301000,246000,-,-,$28.20,-,368000
boston car accident lawyer,0.9,2900,-,2900,2400,2900,2400,2400,2400,2400,2900,2900,2400,2400,-,-,$30.01,-,2400
motor vehicle accident lawyer,0.83,450000,-,368000,450000,368000,368000,368000,301000,368000,368000,368000,301000,246000,-,-,$24.56,-,368000
orlando car accident lawyer,0.85,3600,-,3600,3600,2900,2400,2900,2900,3600,3600,3600,3600,2900,-,-,$34.28,-,2900
truck accident lawyer,0.84,368000,-,368000,450000,368000,301000,301000,301000,301000,301000,301000,301000,246000,-,-,$26.05,-,301000
auto accident injury lawyer,0.73,880,-,1000,590,480,480,480,2900,720,1900,480,390,390,-,-,$40.58,-,880
motorcycle accident lawyer,0.84,368000,-,368000,450000,301000,301000,301000,246000,246000,301000,301000,246000,201000,-,-,$36.87,-,301000
automobile accident lawyers,0.84,550000,-,450000,550000,450000,450000,450000,368000,368000,368000,368000,368000,301000,-,-,$35.83,-,450000
accident injury lawyer,0.73,8100,-,8100,8100,9900,6600,5400,8100,6600,6600,6600,5400,4400,-,-,$39.63,-,6600
vehicle accident lawyer,0.79,5400,-,2400,2400,2400,3600,4400,4400,5400,6600,5400,4400,3600,-,-,$38.17,-,4400
car accident injury lawyers,0.8,1600,-,1900,1000,1300,1300,1300,1000,2400,1000,1300,720,720,-,-,$0.05,-,1300
orange county car accident lawyer,0.83,2900,-,5400,4400,2900,5400,2400,2400,2400,1900,2400,1900,1900,-,-,$33.09,-,2900
auto accidents lawyers,0.83,60500,-,60500,90500,74000,60500,60500,49500,49500,49500,49500,40500,33100,-,-,$41.18,-,49500
