Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
lawyer,0.55,4090000,-,3350000,3350000,3350000,3350000,2740000,2740000,2740000,2740000,2740000,2740000,2240000,-,-,$10.25,-,2740000
find a lawyer,0.77,33100,-,27100,27100,27100,27100,27100,22200,22200,18100,22200,22200,18100,-,-,$10.64,-,22200
lawyer salary,0.16,60500,-,40500,49500,49500,40500,33100,33100,33100,49500,49500,49500,40500,-,-,$1.13,-,40500
find lawyer,0.77,33100,-,27100,27100,27100,27100,27100,22200,22200,18100,22200,22200,18100,-,-,$8.62,-,22200
personal injury lawyer,0.85,301000,-,301000,301000,246000,246000,246000,246000,246000,246000,246000,246000,165000,-,-,$21.25,-,246000
lawyer search,0.62,12100,-,8100,8100,9900,8100,8100,8100,8100,8100,8100,9900,8100,-,-,$6.00,-,8100
ask a lawyer,0.79,22200,-,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,-,-,$6.45,-,18100
injury lawyer,0.83,301000,-,301000,301000,301000,246000,246000,246000,246000,246000,246000,246000,201000,-,-,$21.77,-,246000
lawyer directory,0.54,9900,-,8100,8100,8100,6600,6600,6600,6600,6600,6600,6600,5400,-,-,$4.42,-,6600
corporate lawyer,0.48,33100,-,18100,18100,18100,14800,14800,14800,12100,18100,14800,14800,14800,-,-,$3.93,-,14800
free lawyers,0.92,27100,-,22200,22200,27100,27100,22200,22200,22200,18100,18100,22200,18100,-,-,$4.58,-,22200
lawyer ratings,0.76,4400,-,3600,3600,3600,3600,3600,3600,3600,3600,3600,4400,3600,-,-,$10.23,-,3600
personal injury lawyers,0.86,201000,-,201000,246000,201000,165000,165000,165000,165000,165000,165000,165000,135000,-,-,$25.39,-,165000
lawyer jobs,0.53,22200,-,9900,12100,12100,12100,9900,9900,9900,9900,9900,9900,9900,-,-,$4.60,-,9900
san diego lawyers,0.77,40500,-,40500,40500,49500,49500,40500,40500,33100,33100,33100,40500,27100,-,-,$11.17,-,40500
san diego lawyer,0.66,74000,-,74000,90500,90500,90500,74000,74000,60500,60500,74000,74000,60500,-,-,$13.02,-,74000
american lawyer,0.12,14800,-,9900,9900,12100,12100,9900,9900,9900,9900,9900,12100,12100,-,-,$2.64,-,9900
types of lawyer,0.32,14800,-,9900,12100,12100,12100,9900,9900,8100,9900,9900,9900,9900,-,-,$0.05,-,9900
houston lawyer,0.71,40500,-,33100,33100,33100,40500,33100,33100,33100,33100,33100,33100,27100,-,-,$13.04,-,33100
injury lawyers,0.86,110000,-,90500,74000,74000,74000,74000,60500,60500,74000,60500,74000,49500,-,-,$27.28,-,74000
lawyers,0.67,2740000,-,1830000,1830000,1830000,1830000,1830000,1830000,1500000,1830000,1830000,2240000,1500000,-,-,$8.27,-,1830000
family lawyer,0.65,74000,-,90500,110000,110000,74000,40500,40500,33100,40500,33100,40500,33100,-,-,$7.54,-,60500
houston lawyers,0.81,18100,-,18100,22200,18100,22200,18100,18100,18100,18100,18100,18100,14800,-,-,$10.41,-,18100
chicago lawyer,0.7,33100,-,33100,33100,33100,27100,33100,33100,27100,27100,27100,27100,22200,-,-,$17.88,-,27100
divorce lawyer,0.74,165000,-,165000,201000,201000,165000,135000,135000,135000,135000,110000,110000,90500,-,-,$8.49,-,135000
atlanta personal injury lawyer,0.92,8100,-,8100,14800,22200,8100,5400,4400,3600,4400,3600,3600,2400,-,-,$23.97,-,6600
divorce lawyers,0.88,165000,-,135000,135000,135000,135000,135000,110000,110000,110000,110000,165000,110000,-,-,$9.14,-,135000
lawyer information,0.47,5400,-,3600,4400,4400,3600,3600,1900,2400,4400,4400,4400,3600,-,-,$4.69,-,3600
pro bono lawyers,0.84,49500,-,40500,49500,49500,49500,49500,40500,40500,40500,40500,40500,33100,-,-,$2.63,-,40500
los angeles lawyer,0.61,110000,-,110000,110000,110000,110000,110000,110000,110000,110000,135000,90500,74000,-,-,$19.45,-,110000
miami lawyer,0.77,22200,-,22200,33100,18100,18100,22200,22200,18100,22200,18100,22200,18100,-,-,$6.45,-,22200
medical malpractice lawyers,0.83,90500,-,90500,110000,74000,74000,74000,74000,74000,74000,74000,74000,49500,-,-,$16.84,-,74000
bankruptcy lawyer,0.87,201000,-,201000,201000,246000,201000,201000,201000,165000,165000,165000,201000,165000,-,-,$7.72,-,201000
free lawyer,0.86,33100,-,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,22200,-,-,$3.61,-,27100
ask a lawyer free,0.85,6600,-,5400,5400,6600,5400,5400,5400,5400,5400,5400,5400,4400,-,-,$4.85,-,5400
lawyer career,0.28,8100,-,4400,5400,5400,4400,3600,2900,3600,6600,5400,5400,5400,-,-,$2.34,-,4400
san francisco lawyer,0.62,40500,-,40500,40500,40500,40500,40500,40500,33100,33100,33100,40500,33100,-,-,$10.74,-,40500
los angeles lawyers,0.74,60500,-,60500,60500,60500,49500,74000,60500,60500,60500,60500,49500,40500,-,-,$16.44,-,60500
business lawyer,0.74,33100,-,27100,33100,27100,27100,27100,27100,22200,27100,22200,22200,18100,-,-,$6.63,-,27100
free lawyer advice,0.93,5400,-,4400,4400,4400,4400,3600,2900,2900,2900,2900,2900,2900,-,-,$3.92,-,3600
car accident lawyer,0.83,450000,-,450000,550000,450000,368000,450000,368000,368000,368000,368000,368000,246000,-,-,$28.56,-,368000
child custody lawyers,0.74,33100,-,33100,40500,40500,33100,22200,22200,22200,22200,22200,49500,22200,-,-,$5.74,-,27100
child support lawyers,0.75,22200,-,18100,22200,18100,18100,18100,22200,22200,22200,22200,49500,22200,-,-,$4.85,-,22200
cheap divorce lawyers,0.95,4400,-,3600,3600,3600,3600,3600,3600,3600,3600,4400,4400,3600,-,-,$8.51,-,3600
types of lawyers,0.32,12100,-,9900,9900,12100,9900,8100,8100,8100,9900,9900,9900,8100,-,-,$1.78,-,9900
workers compensation lawyers,0.86,22200,-,18100,22200,18100,18100,27100,22200,27100,22200,18100,18100,14800,-,-,$12.56,-,22200
lawyer firm,0.37,9900,-,3600,4400,5400,3600,3600,18100,2400,8100,2900,2900,2900,-,-,$3.15,-,5400
free lawyer consultation,0.88,9900,-,6600,6600,6600,8100,8100,6600,6600,6600,8100,8100,6600,-,-,$3.51,-,6600
business lawyers,0.77,18100,-,12100,12100,9900,9900,9900,12100,9900,14800,9900,12100,9900,-,-,$5.66,-,12100
workmans comp lawyers,0.89,6600,-,6600,6600,6600,6600,6600,6600,6600,5400,6600,6600,4400,-,-,$14.18,-,6600
free divorce lawyers,0.94,5400,-,4400,4400,4400,5400,5400,5400,5400,4400,4400,5400,4400,-,-,$4.57,-,4400
free consultation lawyers,0.91,14800,-,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100,9900,-,-,$4.82,-,12100
lawyers in san diego,0.77,40500,-,40500,40500,49500,49500,40500,40500,33100,33100,33100,40500,27100,-,-,$7.39,-,40500
gifts for lawyers,0.9,2400,-,5400,2900,1300,1000,1000,880,1000,2400,1600,1000,1000,-,-,$1.30,-,1600
medical malpractice lawyer,0.83,90500,-,90500,110000,74000,74000,74000,74000,74000,74000,74000,74000,49500,-,-,$13.67,-,74000
auto accident lawyer,0.83,450000,-,450000,550000,450000,368000,450000,368000,368000,368000,368000,368000,246000,-,-,$28.57,-,368000
local lawyer,0.68,1900,-,1300,1600,1600,1300,1000,1000,880,1000,1000,1300,880,-,-,$13.37,-,1000
ask a lawyer online now for free,0.79,1000,-,1300,1300,720,480,1300,1000,1600,1600,1300,1000,720,-,-,$0.05,-,1000
medical lawyers,0.9,27100,-,22200,22200,22200,22200,22200,22200,22200,22200,27100,27100,18100,-,-,$10.61,-,22200
workers compensation lawyer,0.81,49500,-,40500,49500,49500,40500,49500,40500,49500,40500,33100,40500,33100,-,-,$13.41,-,40500
ask a lawyer a question,0.85,1600,-,1300,1000,1300,1600,1300,1000,1300,1300,1300,1600,1300,-,-,$5.84,-,1300
atlanta personal injury lawyers,0.92,8100,-,8100,14800,22200,8100,5400,4400,3600,4400,3600,3600,2400,-,-,$25.65,-,6600
new york personal injury lawyer,0.89,9900,-,8100,6600,6600,6600,6600,8100,6600,8100,8100,8100,6600,-,-,$20.16,-,8100
insurance lawyers,0.59,14800,-,12100,12100,12100,12100,12100,9900,12100,12100,12100,14800,9900,-,-,$14.58,-,12100
truck accident lawyer,0.84,368000,-,368000,450000,368000,301000,301000,301000,301000,301000,301000,301000,246000,-,-,$25.69,-,301000
online lawyer,0.81,12100,-,9900,9900,9900,8100,8100,8100,8100,9900,8100,8100,6600,-,-,$9.01,-,8100
wrongful death lawyer,0.79,40500,-,27100,33100,33100,40500,40500,40500,33100,33100,33100,27100,22200,-,-,$25.26,-,33100
malpractice lawyer,0.78,49500,-,40500,60500,49500,33100,33100,33100,33100,40500,40500,33100,22200,-,-,$11.55,-,40500
pro bono divorce lawyers,0.9,3600,-,2400,2900,3600,3600,3600,2900,3600,2900,3600,3600,2900,-,-,$6.22,-,3600
find lawyers,0.75,4400,-,2900,2900,2900,3600,3600,2900,2900,2400,2400,2900,2400,-,-,$7.95,-,2900
dental malpractice lawyers,0.88,2900,-,2400,2400,2900,2400,2400,2400,2400,3600,5400,2900,2400,-,-,$10.18,-,2900
becoming a lawyer,0.26,9900,-,5400,6600,6600,5400,5400,4400,4400,6600,6600,6600,5400,-,-,$3.35,-,5400
family lawyers,0.86,60500,-,33100,40500,33100,33100,33100,27100,27100,27100,27100,27100,22200,-,-,$6.28,-,33100
lawyer in san diego,0.77,40500,-,40500,40500,49500,49500,40500,40500,33100,33100,33100,40500,27100,-,-,$10.71,-,40500
workers comp lawyers,0.85,27100,-,22200,27100,27100,22200,33100,22200,27100,22200,22200,22200,18100,-,-,$10.24,-,22200
nj lawyers,0.81,22200,-,22200,27100,27100,22200,27100,22200,22200,22200,22200,22200,18100,-,-,$8.61,-,22200
atlanta injury lawyer,0.85,12100,-,14800,22200,33100,14800,12100,8100,8100,6600,5400,5400,3600,-,-,$24.01,-,12100
new york lawyer,0.46,165000,-,165000,165000,165000,165000,135000,135000,135000,135000,135000,165000,135000,-,-,$14.31,-,135000
personal injury lawyer los angeles,0.81,9900,-,9900,8100,6600,6600,6600,6600,8100,6600,8100,8100,8100,-,-,$43.38,-,8100
ask a lawyer online,0.84,2900,-,2900,2900,2400,1900,2400,2400,2900,2900,2400,2400,1900,-,-,$7.08,-,2400
litigation lawyer,0.66,12100,-,8100,6600,6600,6600,8100,8100,6600,8100,6600,6600,5400,-,-,$4.83,-,6600
cheap lawyers,0.97,9900,-,8100,8100,8100,8100,8100,8100,8100,6600,8100,9900,8100,-,-,$7.38,-,8100
find a lawyer by name,0.9,590,-,390,480,390,390,320,320,390,480,480,720,590,-,-,$6.30,-,480
los angeles personal injury lawyer,0.81,9900,-,9900,8100,6600,6600,6600,6600,8100,6600,8100,8100,8100,-,-,$0.00,-,8100
motorcycle accident lawyer,0.84,368000,-,368000,450000,301000,301000,301000,246000,246000,301000,301000,246000,201000,-,-,$35.99,-,301000
