Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
legal,0.26,13600000,-,5000000,6120000,6120000,6120000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,-,-,$2.47,-,5000000
record,0.14,16600000,-,6120000,7480000,6120000,6120000,6120000,5000000,5000000,6120000,6120000,6120000,5000000,-,-,$1.55,-,6120000
prepaid legal,0.49,90500,-,90500,90500,110000,90500,90500,74000,74000,90500,90500,90500,74000,-,-,$10.48,-,90500
legal forms,0.74,135000,-,90500,90500,110000,110000,110000,90500,90500,90500,110000,110000,90500,-,-,$1.68,-,90500
free legal advice,0.85,90500,-,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500,-,-,$2.11,-,49500
legal terms,0.21,60500,-,40500,40500,49500,40500,40500,33100,33100,40500,40500,40500,33100,-,-,$0.35,-,40500
pre paid legal,0.49,135000,-,110000,110000,135000,135000,110000,110000,110000,110000,110000,135000,110000,-,-,$6.19,-,110000
legal documents,0.7,165000,-,110000,135000,135000,135000,135000,135000,110000,135000,135000,135000,135000,-,-,$1.53,-,135000
legal information,0.11,40500,-,22200,22200,33100,60500,40500,40500,14800,12100,14800,14800,12100,-,-,$1.54,-,27100
legal aid society,0.34,27100,-,22200,27100,27100,27100,27100,22200,27100,22200,27100,33100,27100,-,-,$1.25,-,27100
prepaid legal services,0.43,22200,-,18100,18100,22200,18100,18100,18100,18100,22200,22200,27100,22200,-,-,$7.67,-,18100
legal advice free,0.85,90500,-,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500,-,-,$0.00,-,49500
legal jobs,0.46,201000,-,74000,90500,90500,90500,110000,90500,90500,90500,90500,90500,74000,-,-,$2.37,-,90500
free online legal advice,0.9,8100,-,3600,3600,3600,3600,3600,3600,3600,3600,4400,4400,3600,-,-,$0.00,-,3600
free legal help,0.85,110000,-,49500,60500,60500,60500,60500,60500,49500,49500,60500,60500,49500,-,-,$2.15,-,60500
online legal advice,0.89,14800,-,5400,5400,5400,5400,8100,6600,6600,6600,6600,6600,5400,-,-,$2.09,-,6600
legal advice online,0.89,14800,-,5400,5400,5400,5400,8100,6600,6600,6600,6600,6600,5400,-,-,$0.00,-,6600
legal questions,0.57,22200,-,12100,14800,18100,18100,14800,14800,14800,14800,14800,22200,14800,-,-,$1.65,-,14800
legal definitions,0.26,9900,-,6600,6600,8100,8100,5400,5400,5400,5400,6600,6600,6600,-,-,$0.18,-,6600
legal advice forum,0.56,2400,-,1600,1300,1600,1300,1300,1300,1000,1600,1300,1900,1600,-,-,$1.32,-,1600
legal rights,0.29,90500,-,40500,40500,40500,40500,33100,33100,33100,40500,40500,40500,33100,-,-,$0.80,-,40500
free legal services,0.65,6600,-,5400,5400,5400,6600,6600,5400,5400,5400,5400,6600,5400,-,-,$1.36,-,5400
free legal advice online,0.9,8100,-,3600,3600,3600,3600,3600,3600,3600,3600,4400,4400,3600,-,-,$0.00,-,3600
legal aid lawyers,0.78,8100,-,1900,2400,2900,2900,2900,2400,2400,2900,2400,2400,1900,-,-,$1.81,-,2400
legal matters,0.24,6600,-,2400,2400,2900,2400,1900,2900,1900,2900,2900,2400,2400,-,-,$0.95,-,2400
legal issues,0.11,135000,-,74000,90500,90500,90500,60500,60500,60500,74000,90500,74000,74000,-,-,$1.12,-,74000
legal help online,0.89,2900,-,3600,14800,1000,1000,1000,880,720,880,1000,1000,1000,-,-,$2.18,-,2400
legal guardianship,0.53,22200,-,14800,18100,18100,18100,22200,18100,18100,18100,18100,18100,14800,-,-,$0.95,-,18100
legal question,0.55,27100,-,18100,22200,22200,22200,18100,18100,18100,18100,22200,27100,18100,-,-,$1.25,-,18100
legal news,0.11,27100,-,14800,18100,18100,18100,18100,14800,14800,14800,18100,18100,18100,-,-,$1.05,-,18100
free legal advice phone,0.86,1600,-,720,720,880,1000,1000,1000,880,880,1000,1300,880,-,-,$0.05,-,880
free legal aid,0.69,22200,-,14800,14800,14800,18100,18100,18100,14800,14800,14800,14800,12100,-,-,$1.43,-,14800
online legal services,0.68,1300,-,880,880,720,720,720,590,480,880,880,720,720,-,-,$1.40,-,720
legal software,0.73,49500,-,27100,27100,27100,27100,27100,27100,18100,22200,27100,27100,22200,-,-,$3.34,-,22200
legal aid,0.49,450000,-,246000,246000,246000,246000,246000,246000,246000,201000,246000,246000,201000,-,-,$2.42,-,246000
legal terms and meanings,0.3,2900,-,1900,2400,1600,880,1300,1900,2400,2400,2400,2900,2400,-,-,$0.05,-,1900
legal age of consent by state,0.1,2400,-,1300,1600,1600,1600,1600,1900,2400,2900,2900,3600,2900,-,-,$0.05,-,2400
legal research,0.37,49500,-,27100,27100,27100,33100,27100,22200,22200,27100,27100,33100,27100,-,-,$1.64,-,27100
pre paid legal services,0.43,22200,-,18100,18100,22200,18100,18100,18100,18100,22200,22200,27100,22200,-,-,$4.62,-,18100
legal assistance,0.43,33100,-,22200,27100,27100,27100,27100,22200,22200,22200,22200,27100,22200,-,-,$2.09,-,27100
legal definition,0.1,165000,-,110000,110000,110000,110000,90500,90500,90500,90500,110000,110000,90500,-,-,$0.27,-,90500
legal terminology,0.33,8100,-,3600,4400,5400,5400,4400,3600,3600,3600,3600,4400,4400,-,-,$0.41,-,4400
legal aid attorneys,0.58,1900,-,1900,1900,2400,1900,1900,1300,1600,1900,1600,1900,1600,-,-,$2.46,-,1900
legal aid lawyer,0.78,8100,-,1900,2400,2900,2900,2900,2400,2400,2900,2400,2400,1900,-,-,$2.72,-,2400
legal representation,0.32,12100,-,4400,6600,5400,5400,5400,5400,5400,5400,5400,6600,5400,-,-,$1.51,-,5400
the record newspaper,0.09,18100,-,9900,9900,9900,9900,9900,9900,12100,12100,14800,18100,14800,-,-,$0.05,-,12100
i need legal advice,0.86,480,-,390,320,390,320,320,260,260,320,320,390,260,-,-,$2.51,-,320
us legal forms,0.48,4400,-,3600,3600,4400,4400,4400,3600,3600,4400,4400,5400,4400,-,-,$1.11,-,4400
legal service,0.34,60500,-,22200,27100,27100,27100,22200,22200,22200,22200,22200,27100,22200,-,-,$2.71,-,22200
legal books,0.49,8100,-,4400,3600,4400,4400,4400,5400,3600,3600,3600,4400,3600,-,-,$1.80,-,4400
free legal assistance,0.69,27100,-,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,-,-,$2.05,-,18100
free legal forms,0.75,33100,-,22200,22200,27100,27100,27100,27100,27100,33100,33100,33100,27100,-,-,$0.45,-,27100
legal separation vs divorce,0.73,4400,-,2400,2400,2900,2900,2900,3600,4400,4400,5400,6600,5400,-,-,$2.26,-,3600
legal attorney,0.48,22200,-,18100,18100,18100,18100,18100,27100,14800,22200,14800,14800,18100,-,-,$4.37,-,18100
legal separation,0.65,74000,-,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,49500,-,-,$2.31,-,60500
legal advice,0.78,201000,-,90500,110000,90500,110000,90500,90500,90500,90500,90500,110000,90500,-,-,$3.06,-,90500
legal aid services,0.47,5400,-,2900,2900,3600,3600,3600,3600,2900,4400,4400,4400,3600,-,-,$1.68,-,3600
legal help,0.68,49500,-,33100,49500,33100,33100,33100,33100,27100,33100,33100,33100,27100,-,-,$3.03,-,33100
legal case management software,0.91,1600,-,1300,1300,1000,1300,1300,1000,1000,1000,1000,1300,1000,-,-,$10.19,-,1000
legal services,0.31,368000,-,165000,201000,201000,201000,201000,201000,165000,165000,201000,201000,165000,-,-,$1.82,-,201000
legal firm,0.29,14800,-,4400,4400,6600,4400,4400,12100,4400,12100,5400,5400,4400,-,-,$2.23,-,6600
free legal consultation,0.85,90500,-,49500,49500,49500,60500,49500,49500,49500,49500,49500,49500,49500,-,-,$1.96,-,49500
legal forms free download,0.73,2900,-,720,590,590,480,590,1900,3600,3600,3600,4400,3600,-,-,$0.69,-,2400
prepaid legal scam,0.36,9900,-,8100,8100,9900,9900,9900,8100,9900,9900,9900,9900,8100,-,-,$2.38,-,9900
legal job,0.32,49500,-,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,-,-,$2.85,-,22200
stockton record,0.05,27100,-,27100,33100,27100,33100,27100,27100,27100,27100,27100,27100,22200,-,-,$0.21,-,27100
legal consultation,0.7,3600,-,1900,1900,2400,2400,1900,1900,1900,1600,1900,1900,1600,-,-,$2.08,-,1900
records,0.29,13600000,-,7480000,9140000,9140000,9140000,9140000,9140000,7480000,9140000,9140000,9140000,7480000,-,-,$0.83,-,9140000
free legal forms downloads,0.76,4400,-,1300,1300,1300,1300,1300,2900,4400,5400,5400,6600,5400,-,-,$0.05,-,3600
legal questions answered,0.85,1000,-,590,590,880,880,590,590,590,720,1000,1300,1000,-,-,$1.69,-,880
law,0.16,30400000,-,16600000,16600000,16600000,16600000,13600000,13600000,13600000,16600000,16600000,16600000,16600000,-,-,$2.87,-,16600000
legal forms free,0.75,33100,-,22200,22200,27100,27100,27100,27100,27100,33100,33100,33100,27100,-,-,$0.00,-,27100
legal documents online,0.84,1600,-,880,1000,1300,1300,1300,1000,1000,1000,1300,1300,1000,-,-,$1.65,-,1000
record streaming video,0.17,22200,-,14800,14800,14800,14800,12100,12100,12100,12100,12100,12100,12100,-,-,$0.48,-,12100
free legal advice hotline,0.86,720,-,590,590,590,720,720,590,480,390,390,390,480,-,-,$0.05,-,590
on line legal advice,0.87,720,-,320,320,260,320,320,320,210,320,260,260,260,-,-,$2.45,-,260
need legal advice,0.79,1000,-,880,720,720,720,720,590,480,880,590,590,480,-,-,$2.50,-,590
legal studies,0.32,49500,-,18100,22200,22200,22200,18100,18100,14800,18100,18100,18100,18100,-,-,$4.35,-,18100
how to record streaming video,0.13,12100,-,9900,9900,9900,8100,8100,6600,5400,6600,5400,6600,6600,-,-,$0.28,-,8100
legal wills,0.79,8100,-,4400,3600,4400,4400,5400,4400,3600,4400,5400,5400,4400,-,-,$2.56,-,4400
legal helpers,0.52,14800,-,12100,14800,18100,14800,14800,14800,14800,12100,12100,12100,12100,-,-,$6.86,-,14800
free recording studio download,0.41,9900,-,6600,5400,5400,5400,6600,6600,6600,6600,6600,6600,6600,-,-,$0.63,-,6600
24 hour legal advice,0.88,1000,-,590,590,590,590,590,480,480,480,590,590,480,-,-,$2.05,-,590
legal translation,0.6,18100,-,4400,4400,4400,4400,3600,8100,3600,5400,4400,5400,3600,-,-,$3.29,-,4400
legal terms dictionary,0.28,2400,-,590,590,880,880,880,720,720,880,1000,1300,1300,-,-,$0.40,-,880
free legal documents,0.69,8100,-,5400,5400,6600,6600,6600,6600,6600,6600,6600,8100,6600,-,-,$1.08,-,6600
