Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
prepaid legal customer service,0.29,590,-,480,390,480,480,590,480,720,720,720,720,720,-,-,$13.11,-,590
recording,0.35,3350000,-,1830000,1500000,1500000,1500000,1500000,1500000,1220000,1500000,2240000,1500000,1500000,-,-,$1.74,-,1500000
expungement of criminal records,0.54,27100,-,22200,22200,22200,22200,22200,22200,22200,27100,27100,27100,22200,-,-,$2.08,-,22200
legal malpractice,0.59,33100,-,27100,27100,27100,33100,27100,33100,22200,40500,40500,27100,22200,-,-,$8.41,-,27100
legal malpractice attorneys,0.82,6600,-,5400,5400,5400,6600,5400,6600,4400,6600,8100,5400,4400,-,-,$10.39,-,5400
legal lawyer,0.47,14800,-,5400,6600,8100,6600,5400,22200,5400,18100,5400,5400,8100,-,-,$4.99,-,8100
legal helpline,0.65,2400,-,320,320,590,590,390,390,390,390,320,390,260,-,-,$2.15,-,390
prepaid legal services scam,0.26,4400,-,3600,3600,4400,3600,4400,3600,4400,4400,4400,5400,3600,-,-,$3.74,-,4400
legal aid divorce,0.83,6600,-,2900,2900,3600,3600,2900,2900,2900,2900,3600,3600,2900,-,-,$3.22,-,2900
legal forms online,0.82,2400,-,1600,1600,1900,2400,2900,1900,1600,1900,2400,2900,2400,-,-,$1.40,-,2400
recorded books,0.51,14800,-,12100,14800,12100,12100,12100,9900,12100,9900,9900,12100,9900,-,-,$1.87,-,12100
legal forms power of attorney,0.85,2400,-,1900,1900,1900,1600,1900,1600,1600,1900,1900,2400,1600,-,-,$0.77,-,1900
recorder notes,0.21,40500,-,27100,22200,18100,14800,9900,9900,18100,27100,18100,22200,18100,-,-,$0.29,-,18100
naacp legal defense fund,0.42,1600,-,1600,1600,1600,1300,1300,1900,1300,1600,1900,1900,1600,-,-,$1.52,-,1600
legal contracts,0.53,12100,-,5400,6600,6600,6600,5400,5400,5400,6600,6600,8100,5400,-,-,$1.85,-,6600
electronic medical records,0.76,74000,-,60500,74000,74000,60500,60500,60500,49500,49500,60500,74000,49500,-,-,$11.68,-,60500
legal billing software,0.92,2400,-,2400,1900,1900,1900,1900,1900,1600,2400,1900,1900,1900,-,-,$6.46,-,1900
expunge criminal record,0.54,27100,-,22200,22200,22200,22200,22200,22200,27100,27100,27100,33100,27100,-,-,$4.65,-,27100
how to legally change your name,0.37,9900,-,8100,8100,9900,8100,9900,9900,9900,8100,8100,9900,8100,-,-,$1.22,-,8100
troy record,0.02,27100,-,33100,33100,33100,27100,27100,27100,27100,27100,33100,27100,22200,-,-,$0.05,-,27100
sound recorder,0.29,201000,-,60500,60500,60500,60500,49500,49500,40500,49500,49500,60500,49500,-,-,$0.52,-,49500
recording studio equipment,0.85,14800,-,8100,8100,6600,8100,6600,8100,8100,9900,9900,12100,12100,-,-,$2.33,-,8100
records management software,0.85,2900,-,1300,1600,1300,1300,1300,1600,1600,1300,1600,1600,1600,-,-,$5.16,-,1600
legal helpers debt resolution,0.49,2900,-,3600,3600,4400,4400,4400,4400,3600,2400,1900,1900,1000,-,-,$0.05,-,2900
business legal advice,0.75,2400,-,880,880,720,720,720,720,590,590,590,720,590,-,-,$2.84,-,720
electronic medical records software,0.95,4400,-,3600,3600,3600,2900,3600,2900,2900,2900,3600,3600,2900,-,-,$10.82,-,2900
continuing legal education,0.56,18100,-,18100,14800,14800,14800,14800,12100,14800,14800,14800,14800,14800,-,-,$8.68,-,14800
recording software,0.52,368000,-,201000,165000,165000,165000,165000,165000,135000,165000,165000,165000,165000,-,-,$1.49,-,165000
legal aid advice,0.71,880,-,210,210,210,210,210,210,170,170,170,210,110,-,-,$1.75,-,170
legal lawyers,0.58,14800,-,6600,6600,6600,6600,6600,12100,5400,14800,6600,6600,8100,-,-,$5.47,-,8100
records management,0.47,110000,-,40500,40500,49500,49500,49500,40500,40500,40500,40500,49500,40500,-,-,$10.05,-,40500
dui arrest records,0.66,2900,-,2400,2900,2400,2900,2900,2900,3600,2900,2900,2400,2400,-,-,$0.05,-,2900
architectural record,0.34,22200,-,12100,14800,12100,14800,12100,9900,9900,9900,12100,12100,12100,-,-,$2.17,-,12100
propellerhead record,0.17,49500,-,14800,12100,12100,14800,12100,9900,12100,12100,12100,14800,14800,-,-,$0.05,-,14800
legal secretary jobs,0.45,14800,-,5400,6600,6600,6600,6600,6600,6600,6600,5400,6600,5400,-,-,$16.27,-,6600
electronic medical record,0.76,74000,-,60500,74000,74000,60500,60500,60500,49500,49500,60500,74000,49500,-,-,$7.63,-,60500
free legal advice online chat,0.87,1000,-,720,880,720,880,1000,1000,880,880,880,880,590,-,-,$0.05,-,880
axiom legal,0.11,1900,-,1300,1600,1600,1300,1300,1300,1300,1300,1600,1600,1600,-,-,$0.05,-,1300
legal will,0.38,40500,-,22200,27100,27100,27100,22200,22200,22200,22200,27100,27100,18100,-,-,$2.91,-,22200
legal advice line,0.84,1300,-,480,480,390,590,480,590,390,590,480,480,480,-,-,$2.08,-,480
free recording studio,0.5,27100,-,22200,18100,18100,14800,18100,18100,18100,18100,18100,18100,18100,-,-,$0.76,-,18100
record management,0.48,135000,-,49500,49500,60500,49500,49500,49500,49500,49500,49500,60500,49500,-,-,$4.02,-,49500
legal recruiters,0.66,8100,-,4400,5400,5400,5400,6600,5400,5400,5400,5400,6600,5400,-,-,$2.27,-,5400
legal name change,0.48,27100,-,18100,18100,18100,22200,22200,22200,22200,22200,22200,22200,18100,-,-,$0.90,-,22200
legal assistant jobs,0.39,12100,-,5400,6600,6600,8100,8100,6600,6600,6600,5400,6600,5400,-,-,$1.76,-,6600
property tax records,0.18,74000,-,60500,60500,60500,60500,74000,74000,74000,74000,74000,90500,74000,-,-,$0.63,-,74000
free legal forms online,0.79,1000,-,720,590,590,720,880,880,880,720,1000,1600,1000,-,-,$0.67,-,880
recording equipment,0.79,49500,-,27100,27100,22200,27100,22200,27100,22200,27100,27100,33100,27100,-,-,$2.44,-,27100
legal malpractice insurance,0.59,6600,-,6600,6600,6600,8100,6600,5400,4400,9900,8100,5400,4400,-,-,$4.77,-,6600
legal recruitment,0.24,33100,-,1600,1900,1600,1900,1900,2400,1600,2400,1900,2400,1600,-,-,$4.86,-,1900
legal documents for free,0.69,8100,-,5400,5400,6600,6600,6600,6600,6600,6600,6600,8100,6600,-,-,$0.05,-,6600
mp3 recorder,0.44,135000,-,40500,33100,27100,33100,33100,27100,22200,27100,27100,33100,22200,-,-,$1.01,-,27100
record labels,0.39,110000,-,74000,90500,74000,74000,74000,74000,74000,74000,74000,74000,74000,-,-,$0.52,-,74000
legal dictionary,0.26,60500,-,27100,27100,33100,33100,33100,22200,27100,27100,27100,33100,27100,-,-,$0.68,-,27100
legal insurance,0.45,40500,-,18100,18100,18100,22200,18100,22200,14800,22200,18100,18100,14800,-,-,$13.34,-,18100
legal process outsourcing,0.67,6600,-,1300,1000,880,880,1000,880,1000,1000,1000,880,720,-,-,$0.54,-,1000
legally changing your name,0.38,18100,-,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,12100,-,-,$1.33,-,14800
cook county recorder of deeds,0.05,14800,-,14800,18100,14800,14800,14800,14800,14800,14800,14800,18100,14800,-,-,$0.48,-,14800
legal documents forms,0.76,1000,-,720,720,720,720,720,720,880,1000,1000,1000,1000,-,-,$0.97,-,880
free online legal advice chat,0.87,1000,-,720,880,720,880,1000,1000,880,880,880,880,590,-,-,$0.05,-,880
legal counsel,0.17,40500,-,18100,22200,22200,22200,18100,18100,18100,18100,22200,22200,18100,-,-,$1.82,-,18100
record your voice,0.33,12100,-,9900,9900,8100,6600,6600,6600,6600,6600,6600,6600,6600,-,-,$0.98,-,6600
cemetery records,0.36,60500,-,22200,18100,22200,22200,27100,27100,27100,27100,27100,27100,22200,-,-,$0.49,-,27100
recorder,0.36,5000000,-,2240000,2240000,1830000,1830000,1830000,1830000,1500000,1830000,1830000,1830000,1830000,-,-,$1.25,-,1830000
recorder songs,0.29,27100,-,22200,18100,14800,14800,9900,9900,18100,22200,18100,22200,18100,-,-,$0.38,-,18100
legal terminology list,0.27,1300,-,720,880,1300,1300,1000,720,720,720,720,880,720,-,-,$0.05,-,880
online recording studio free,0.66,1900,-,1900,1900,1600,1300,1600,1600,1600,1300,1300,1300,1300,-,-,$0.78,-,1600
weather records,0.26,27100,-,18100,14800,12100,14800,14800,14800,9900,12100,12100,14800,18100,-,-,$0.22,-,14800
record your voice online free,0.49,880,-,590,480,590,590,590,720,880,590,590,480,590,-,-,$0.05,-,590
sound recorder download,0.31,22200,-,5400,4400,5400,5400,5400,4400,3600,4400,4400,4400,4400,-,-,$0.31,-,4400
voice recording,0.55,550000,-,246000,246000,246000,246000,201000,165000,165000,201000,201000,201000,201000,-,-,$1.40,-,201000
recorder music,0.35,60500,-,40500,40500,33100,27100,22200,22200,27100,40500,33100,33100,33100,-,-,$1.07,-,33100
online recording studio,0.73,4400,-,4400,3600,3600,2900,3600,3600,2900,2900,2400,2400,2900,-,-,$0.92,-,2900
legal alcohol limit for driving,0.1,2900,-,1000,1300,1300,1000,1300,1300,1600,1600,1300,1600,1000,-,-,$0.05,-,1300
multitrack recording software,0.34,8100,-,5400,4400,4400,4400,4400,4400,3600,4400,4400,5400,4400,-,-,$1.14,-,4400
free recording studio software,0.5,12100,-,9900,8100,8100,8100,8100,9900,8100,8100,8100,9900,8100,-,-,$0.56,-,8100
legal aid ontario,0.29,18100,-,320,320,260,260,320,320,320,320,260,320,210,-,-,$1.21,-,320
record your voice online,0.49,1900,-,1300,1300,1300,1300,1000,1300,1300,1300,1300,1000,1300,-,-,$0.05,-,1300
record voice,0.21,74000,-,49500,40500,40500,40500,33100,33100,27100,33100,33100,33100,33100,-,-,$1.04,-,33100
record screen,0.19,74000,-,40500,40500,33100,33100,33100,33100,27100,27100,27100,33100,27100,-,-,$1.60,-,33100
record phone calls,0.49,27100,-,18100,18100,18100,18100,18100,18100,14800,14800,14800,18100,14800,-,-,$2.27,-,14800
legal separation forms,0.82,4400,-,2900,3600,3600,4400,4400,4400,4400,3600,4400,5400,4400,-,-,$0.69,-,4400
legal assistant,0.39,60500,-,33100,33100,40500,40500,40500,33100,33100,33100,33100,40500,33100,-,-,$2.57,-,33100
home recording equipment,0.81,5400,-,3600,2900,2400,2400,2400,2400,1900,2400,2400,2400,2900,-,-,$2.94,-,2400
recording programs,0.51,14800,-,9900,9900,8100,9900,8100,8100,6600,6600,8100,8100,8100,-,-,$1.83,-,8100
cd recorder,0.74,74000,-,60500,40500,33100,33100,33100,33100,27100,33100,33100,40500,33100,-,-,$1.10,-,33100
free online recording studio,0.66,1900,-,1900,1900,1600,1600,1600,1600,1600,1300,1300,1300,1300,-,-,$0.00,-,1600
legal drinking age,0.1,49500,-,27100,40500,33100,27100,27100,22200,22200,27100,33100,40500,33100,-,-,$0.76,-,27100
studio recording equipment,0.85,14800,-,8100,8100,6600,8100,6600,8100,8100,9900,9900,12100,12100,-,-,$0.00,-,8100
free recording software,0.38,110000,-,60500,60500,49500,49500,49500,49500,49500,49500,49500,60500,49500,-,-,$0.84,-,49500
property ownership records,0.59,4400,-,2400,2400,2900,3600,3600,4400,4400,4400,4400,4400,3600,-,-,$0.49,-,3600
home recording,0.48,90500,-,49500,49500,40500,40500,40500,40500,33100,40500,33100,40500,40500,-,-,$1.63,-,40500
how to change your name legally,0.37,9900,-,8100,8100,9900,8100,9900,9900,9900,8100,8100,9900,8100,-,-,$0.00,-,8100
how to legally change your last name,0.39,1600,-,1300,1000,1300,1300,1600,1600,1600,1600,1600,1900,1600,-,-,$0.90,-,1600
cd recorders,0.86,12100,-,9900,8100,6600,6600,6600,6600,5400,6600,8100,8100,6600,-,-,$1.37,-,8100
public record,0.45,1220000,-,1000000,1000000,1000000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1000000,-,-,$0.63,-,1220000
miami dade public records,0.27,14800,-,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,-,-,$0.31,-,14800
recording microphones,0.74,9900,-,8100,8100,6600,5400,5400,5400,5400,5400,5400,6600,6600,-,-,$1.96,-,6600
cell phone text message records,0.74,720,-,720,880,720,590,720,880,720,720,720,720,720,-,-,$0.05,-,720
recording studio software,0.59,27100,-,18100,14800,14800,14800,14800,14800,14800,14800,14800,18100,18100,-,-,$1.05,-,14800
how to expunge a criminal record,0.51,4400,-,4400,4400,4400,4400,3600,3600,3600,3600,3600,3600,2900,-,-,$2.49,-,3600
legal will forms,0.78,2400,-,1900,1900,1900,1900,2400,1900,1900,1900,1900,1900,1600,-,-,$1.08,-,1900
telephone recorder,0.84,12100,-,6600,5400,5400,6600,6600,5400,4400,5400,5400,6600,5400,-,-,$2.11,-,5400
legal secretary,0.44,60500,-,27100,27100,33100,33100,33100,27100,27100,27100,27100,33100,27100,-,-,$4.89,-,27100
legally change your name,0.38,14800,-,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,9900,-,-,$1.43,-,12100
legal aid online,0.55,3600,-,720,720,880,720,720,720,720,720,720,880,720,-,-,$3.19,-,720
legal recruitment agencies,0.46,6600,-,260,260,210,320,210,260,260,320,260,320,260,-,-,$3.77,-,260
desktop recorder,0.4,27100,-,6600,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,-,-,$1.46,-,5400
download sound recorder,0.31,22200,-,5400,4400,5400,5400,5400,4400,3600,4400,4400,4400,4400,-,-,$0.00,-,4400
guitar recording software,0.4,5400,-,3600,2900,2400,2400,2400,2400,1900,2400,1900,2400,2400,-,-,$1.31,-,2400
prison records,0.44,18100,-,12100,12100,12100,14800,14800,14800,12100,14800,14800,14800,12100,-,-,$0.31,-,14800
public property records,0.5,14800,-,14800,12100,14800,14800,14800,14800,14800,18100,18100,18100,12100,-,-,$0.57,-,14800
recording studio,0.52,450000,-,246000,246000,201000,201000,201000,201000,201000,201000,1220000,246000,246000,-,-,$1.87,-,301000
recording studio software free download,0.45,2900,-,2400,1900,1900,1600,1900,2400,1900,1900,1900,1900,1900,-,-,$0.70,-,1900
temperature recorders,0.92,6600,-,2900,2900,2900,2900,2900,2900,2900,2900,2900,3600,2900,-,-,$4.27,-,2900
property ownership records free,0.75,1300,-,590,480,480,720,720,1000,1300,1300,1000,1300,1000,-,-,$0.05,-,880
recording phone calls,0.51,27100,-,14800,14800,14800,18100,18100,14800,12100,14800,14800,14800,14800,-,-,$2.27,-,14800
phone recorder,0.76,33100,-,18100,14800,14800,18100,14800,14800,12100,14800,14800,18100,14800,-,-,$1.88,-,14800
zoom legal,0.6,60500,-,60500,74000,74000,74000,49500,49500,49500,40500,40500,49500,40500,-,-,$56.58,-,60500
sonic record now free download,0.27,6600,-,1900,2400,2400,2400,2400,2400,2900,2900,2900,2900,2900,-,-,$0.63,-,2900
legal separation papers,0.84,5400,-,3600,4400,4400,4400,5400,4400,4400,4400,5400,5400,5400,-,-,$1.18,-,4400
record players,0.66,40500,-,40500,33100,22200,22200,22200,18100,18100,18100,18100,18100,18100,-,-,$0.78,-,22200
keystroke recorder,0.74,40500,-,22200,22200,22200,22200,22200,22200,18100,22200,22200,22200,22200,-,-,$2.19,-,22200
voice recording software,0.45,40500,-,14800,14800,14800,18100,14800,12100,12100,12100,12100,14800,12100,-,-,$1.15,-,14800
electronic health record,0.64,40500,-,33100,40500,49500,40500,27100,27100,22200,27100,33100,33100,27100,-,-,$6.25,-,33100
phone recording,0.62,49500,-,22200,22200,22200,22200,22200,27100,18100,22200,22200,22200,18100,-,-,$2.62,-,22200
screen recorder,0.33,246000,-,60500,60500,60500,60500,60500,60500,60500,60500,49500,60500,49500,-,-,$1.59,-,60500
recording studio design,0.69,5400,-,1900,2400,1900,1900,2400,1900,1900,2400,2400,2900,2900,-,-,$1.35,-,2400
temperature recorder,0.92,5400,-,1900,1900,1900,1900,1900,1900,1900,1900,1900,2400,1900,-,-,$4.22,-,1900
legal advice for free,0.85,90500,-,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500,-,-,$1.95,-,49500
online voice recorder,0.43,9900,-,8100,6600,6600,5400,4400,4400,3600,4400,3600,3600,3600,-,-,$0.55,-,4400
cheap recording studio equipment,0.91,480,-,390,320,320,210,320,390,390,390,390,480,480,-,-,$2.92,-,390
electronic medical records companies,0.95,2900,-,2400,2900,2900,2400,2400,2900,1900,2400,2400,3600,2400,-,-,$8.45,-,2400
criminal record,0.61,673000,-,450000,450000,450000,450000,550000,550000,550000,550000,550000,550000,450000,-,-,$3.87,-,550000
recording studios,0.53,165000,-,110000,110000,90500,90500,90500,90500,90500,90500,90500,90500,90500,-,-,$1.31,-,90500
multitrack recorder,0.6,22200,-,14800,12100,9900,12100,9900,9900,8100,12100,9900,12100,12100,-,-,$1.47,-,12100
digital sound recorder,0.64,135000,-,74000,74000,74000,90500,74000,60500,60500,74000,74000,74000,74000,-,-,$1.08,-,74000
