Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
dwi,0.44,673000,-,246000,246000,246000,246000,201000,201000,201000,201000,201000,201000,165000,-,-,$15.23,-,201000
dwi vs dui,0.42,3600,-,4400,5400,3600,5400,2900,2900,2900,2900,2900,3600,2900,-,-,$8.95,-,3600
dwi lawyers,0.84,40500,-,49500,49500,40500,33100,40500,40500,33100,33100,33100,33100,33100,-,-,$27.79,-,40500
dwi laws,0.59,9900,-,12100,14800,9900,9900,9900,8100,8100,9900,9900,9900,9900,-,-,$5.40,-,9900
dwi attorney,0.83,14800,-,14800,18100,14800,12100,14800,14800,12100,12100,12100,12100,12100,-,-,$37.55,-,12100
dui vs dwi,0.42,3600,-,4400,5400,3600,5400,2900,2900,2900,2900,2900,3600,2900,-,-,$0.00,-,3600
dwi attorneys,0.84,27100,-,27100,33100,22200,22200,22200,22200,18100,22200,18100,22200,22200,-,-,$21.12,-,22200
dui dwi,0.32,12100,-,12100,14800,12100,18100,12100,9900,9900,9900,12100,12100,9900,-,-,$7.20,-,12100
dwi defense attorney,0.77,74000,-,60500,74000,60500,60500,60500,60500,60500,60500,60500,60500,49500,-,-,$27.26,-,60500
dwi law,0.51,4400,-,5400,6600,4400,4400,4400,3600,2900,3600,3600,4400,3600,-,-,$4.62,-,4400
dwi defense lawyer,0.75,135000,-,110000,135000,110000,110000,110000,110000,110000,110000,110000,90500,90500,-,-,$22.11,-,110000
austin dwi,0.82,3600,-,2900,2900,2900,2400,2900,2900,2900,3600,3600,3600,2900,-,-,$75.88,-,2900
dwi penalties,0.51,2900,-,3600,4400,2900,2400,2400,1900,1900,2400,2400,2400,2400,-,-,$6.75,-,2400
dwi lawyer,0.83,18100,-,18100,22200,14800,14800,14800,14800,12100,12100,12100,14800,14800,-,-,$33.63,-,14800
dwi defense,0.73,2900,-,3600,3600,2900,2400,2400,1900,1900,1900,2400,2400,1900,-,-,$11.92,-,2400
houston dwi lawyer,0.91,2900,-,2900,2900,2400,2400,2900,2900,2400,1900,2400,2400,1900,-,-,$42.14,-,2400
houston dwi attorney,0.9,8100,-,8100,9900,8100,6600,8100,8100,6600,6600,6600,8100,8100,-,-,$28.78,-,8100
dwi dui,0.32,12100,-,12100,14800,12100,18100,12100,9900,9900,9900,12100,12100,9900,-,-,$0.00,-,12100
austin dwi lawyer,0.9,1900,-,1600,1600,1300,1300,1300,1600,1300,1900,1900,1900,1600,-,-,$76.33,-,1600
austin dwi attorney,0.87,3600,-,3600,3600,2900,2900,2900,2900,2900,3600,3600,5400,5400,-,-,$77.66,-,3600
dallas dwi lawyer,0.84,8100,-,8100,8100,9900,8100,9900,9900,6600,6600,5400,5400,4400,-,-,$47.41,-,6600
nj dwi,0.61,5400,-,6600,6600,5400,5400,5400,4400,4400,4400,3600,4400,3600,-,-,$14.15,-,5400
dui laws,0.65,49500,-,49500,49500,49500,49500,49500,49500,40500,49500,49500,49500,49500,-,-,$7.08,-,49500
dallas dwi attorney,0.84,8100,-,8100,6600,9900,8100,9900,9900,5400,5400,5400,4400,4400,-,-,$63.49,-,6600
dwi in nj,0.61,5400,-,6600,6600,5400,5400,5400,4400,4400,4400,3600,4400,3600,-,-,$12.13,-,5400
dwi consequences,0.46,720,-,880,1300,880,880,590,480,390,590,590,480,390,-,-,$5.44,-,720
san antonio dwi attorney,0.89,1900,-,2400,2400,1900,2400,2400,2400,1900,2400,1900,1900,1600,-,-,$44.26,-,1900
nj dwi lawyer,0.85,5400,-,5400,5400,5400,4400,5400,4400,5400,4400,4400,5400,3600,-,-,$18.37,-,4400
dwi statistics,0.34,1300,-,1600,1900,1600,1000,590,880,720,1300,1600,1300,1000,-,-,$3.56,-,1300
dallas dwi,0.8,4400,-,4400,3600,4400,4400,5400,6600,3600,3600,2900,2900,2900,-,-,$43.14,-,4400
san antonio dwi lawyer,0.89,1900,-,2400,2400,1900,2400,2400,2400,1900,2400,1900,1900,1600,-,-,$24.62,-,1900
austin texas dwi lawyer,0.88,590,-,720,590,590,590,590,590,390,590,590,590,390,-,-,$0.00,-,480
drunk driving,0.35,301000,-,301000,368000,301000,201000,165000,165000,165000,301000,301000,301000,246000,-,-,$4.43,-,246000
dwi lawyer nj,0.85,5400,-,5400,5400,5400,4400,5400,4400,5400,4400,4400,5400,3600,-,-,$0.00,-,4400
driving while intoxicated,0.36,5400,-,4400,6600,4400,4400,5400,6600,3600,4400,5400,4400,4400,-,-,$5.28,-,4400
nj dwi attorney,0.84,4400,-,4400,5400,4400,4400,4400,4400,4400,4400,3600,4400,3600,-,-,$22.05,-,4400
dui dwi attorney,0.64,2400,-,2900,2900,2400,1900,2900,1900,1900,1900,1600,1600,1000,-,-,$19.34,-,1900
dwi fines,0.47,1000,-,1300,1300,1300,1300,1000,880,880,880,720,1000,720,-,-,$5.83,-,1000
houston dwi attorneys,0.91,2900,-,2900,3600,2400,2400,2900,2900,2400,2400,2400,2900,2400,-,-,$0.05,-,2900
dwi first offense,0.56,1600,-,1900,1900,1900,1900,1600,1600,1600,1600,1600,1900,1600,-,-,$8.67,-,1600
dwi nj,0.61,5400,-,6600,6600,5400,5400,5400,4400,4400,4400,3600,4400,3600,-,-,$0.00,-,5400
san antonio dwi,0.81,1600,-,1600,1600,1600,1600,1600,1600,1300,1600,1300,1300,1000,-,-,$22.55,-,1600
austin dwi lawyers,0.89,1900,-,1900,1900,1600,1300,1600,1600,1600,2400,1900,2400,1600,-,-,$109.77,-,1600
houston dwi,0.85,4400,-,4400,4400,3600,3600,4400,4400,3600,2900,3600,3600,3600,-,-,$26.81,-,3600
austin dwi attorneys,0.89,1900,-,1900,1900,1600,1300,1600,1600,1600,2400,1900,2400,1600,-,-,$71.96,-,1600
dwi austin,0.82,3600,-,2900,2900,2900,2400,2900,2900,2900,3600,3600,3600,2900,-,-,$0.00,-,2900
dwi felony,0.37,2900,-,2900,3600,3600,3600,2900,2400,2900,2900,2900,2900,2400,-,-,$4.71,-,2900
ny dwi lawyer,0.86,1900,-,2900,2900,1900,1900,1900,1900,1600,1600,1600,1600,1600,-,-,$45.45,-,1900
dwi arrests,0.44,5400,-,6600,6600,6600,6600,4400,5400,4400,4400,4400,4400,4400,-,-,$3.42,-,5400
dwi houston lawyer,0.9,2400,-,2400,2400,1900,1900,2400,2400,1900,1600,1900,1900,1900,-,-,$0.00,-,1900
dwi offenders,0.46,880,-,1000,1000,880,880,720,720,880,880,1000,880,720,-,-,$4.51,-,880
dwi laws in ny,0.61,1000,-,1300,1300,1300,1300,1300,1000,1000,1000,1000,1000,880,-,-,$0.05,-,1000
new york dwi lawyer,0.77,9900,-,8100,9900,9900,9900,12100,12100,4400,5400,5400,6600,4400,-,-,$36.94,-,8100
new york dwi attorney,0.75,8100,-,6600,9900,8100,8100,9900,12100,4400,5400,4400,5400,3600,-,-,$32.79,-,6600
dwi records,0.59,1600,-,1900,1600,1600,1300,1600,1600,1900,1900,1900,1600,1300,-,-,$2.63,-,1600
austin texas dwi,0.8,590,-,590,590,480,590,480,390,480,720,720,720,390,-,-,$86.40,-,480
dui lawyer,0.65,110000,-,90500,135000,165000,165000,201000,201000,60500,60500,60500,60500,60500,-,-,$29.03,-,110000
fort worth dwi attorney,0.8,1900,-,2400,1900,1900,1900,2400,2900,1900,1300,1000,1300,1000,-,-,$47.15,-,1900
dui attorney,0.63,135000,-,90500,135000,201000,201000,246000,246000,74000,74000,74000,74000,60500,-,-,$31.96,-,135000
dui dwi lawyer,0.64,2400,-,2900,2900,2400,1900,2900,1900,1900,1900,1600,1600,1000,-,-,$24.06,-,1900
dui,0.46,1500000,-,1220000,1220000,1220000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,823000,-,-,$12.24,-,1220000
dwi attorney dallas,0.83,4400,-,4400,4400,5400,4400,6600,5400,3600,3600,3600,2900,2400,-,-,$0.00,-,4400
nj dwi lawyers,0.82,4400,-,4400,5400,5400,4400,6600,5400,2900,3600,2900,3600,2900,-,-,$27.16,-,4400
fort worth dwi lawyer,0.8,1900,-,2400,1900,1900,1900,2400,2900,1900,1300,1000,1300,1000,-,-,$66.19,-,1900
difference between dui and dwi,0.1,2400,-,2400,2400,2400,4400,2400,1900,2400,1900,1900,2400,2400,-,-,$3.04,-,2400
mn dwi,0.58,2900,-,3600,3600,2900,3600,2900,2400,2400,2400,2400,2900,2400,-,-,$6.78,-,2900
fort worth dwi,0.84,1300,-,1300,1300,1600,1000,1300,2400,1000,720,590,880,590,-,-,$66.59,-,1000
aggravated dwi,0.31,1000,-,1300,1300,1300,1300,1000,880,720,1300,880,1000,720,-,-,$5.66,-,1000
dwi attorney houston,0.89,5400,-,4400,5400,4400,3600,4400,4400,3600,4400,3600,4400,5400,-,-,$0.00,-,4400
dwi lawyer houston,0.9,9900,-,8100,9900,8100,6600,8100,8100,6600,6600,6600,8100,8100,-,-,$0.00,-,8100
houston dwi lawyers,0.91,2900,-,2900,3600,2400,2400,2900,2900,2400,2400,2400,2900,2400,-,-,$103.81,-,2900
dwi lawyer dallas,0.83,8100,-,9900,8100,12100,8100,12100,9900,6600,6600,5400,5400,5400,-,-,$0.00,-,8100
dwi lawyers dallas,0.85,2900,-,2400,2400,2900,2400,4400,4400,1900,1900,1900,1900,1900,-,-,$73.03,-,2400
austin texas dwi attorney,0.88,590,-,720,590,590,590,590,590,390,590,590,590,390,-,-,$0.00,-,480
dui lawyers,0.81,33100,-,33100,33100,27100,27100,33100,27100,27100,33100,27100,49500,22200,-,-,$28.88,-,33100
dallas dwi lawyers,0.85,2900,-,2400,2400,2900,2400,4400,4400,1900,1900,1900,1900,1900,-,-,$0.00,-,2400
travis county dwi,0.54,720,-,390,390,480,480,480,480,480,390,720,1300,1900,-,-,$63.16,-,720
dui and dwi,0.32,12100,-,12100,14800,12100,18100,12100,9900,9900,9900,12100,12100,9900,-,-,$7.21,-,12100
dallas dwi attorneys,0.85,2900,-,2400,2400,2900,2400,4400,4400,1900,1900,1900,1900,1900,-,-,$46.09,-,2400
dui attorneys,0.68,201000,-,135000,201000,246000,246000,301000,301000,110000,135000,110000,135000,110000,-,-,$35.12,-,165000
ny dwi attorney,0.85,8100,-,8100,8100,6600,5400,6600,6600,5400,6600,6600,6600,4400,-,-,$20.39,-,6600
