Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
asbestos,0.62,823000,-,368000,450000,368000,368000,368000,368000,368000,368000,368000,450000,368000,-,-,$14.51,-,368000
asbestos removal,0.74,90500,-,27100,33100,33100,33100,33100,33100,27100,33100,33100,33100,27100,-,-,$5.58,-,33100
asbestos insulation,0.48,9900,-,8100,8100,6600,5400,5400,5400,5400,6600,6600,8100,5400,-,-,$4.51,-,6600
asbestos exposure,0.8,22200,-,14800,22200,12100,12100,12100,12100,14800,14800,14800,22200,12100,-,-,$29.35,-,14800
asbestos abatement,0.62,14800,-,12100,14800,12100,12100,14800,12100,14800,14800,14800,14800,12100,-,-,$6.84,-,14800
asbestos siding,0.54,9900,-,8100,8100,9900,9900,9900,9900,9900,12100,12100,12100,8100,-,-,$6.24,-,9900
what is asbestos,0.64,5400,-,2900,3600,2900,2900,2400,2400,1900,2900,2900,2900,2400,-,-,$15.20,-,2900
asbestos floor tiles,0.55,6600,-,4400,3600,4400,4400,4400,4400,4400,4400,4400,5400,3600,-,-,$1.80,-,4400
asbestos cancer,0.79,14800,-,8100,8100,8100,8100,8100,8100,8100,8100,6600,9900,5400,-,-,$42.97,-,8100
asbestos removal cost,0.78,6600,-,1600,1900,2400,2400,2400,2400,2900,2900,3600,3600,2900,-,-,$3.10,-,2900
asbestos disposal,0.58,8100,-,1900,2400,2400,2400,2400,3600,2400,2400,2900,2900,1900,-,-,$4.22,-,2400
asbestos testing,0.91,22200,-,14800,14800,14800,12100,14800,12100,12100,12100,14800,14800,12100,-,-,$5.57,-,14800
asbestos symptoms,0.92,4400,-,2900,2900,2900,2900,2900,2900,3600,2900,2400,2900,2400,-,-,$44.35,-,2900
asbestos removal companies,0.86,1900,-,880,1000,880,880,1000,1000,880,1000,1000,1600,1000,-,-,$6.44,-,1000
asbestos poisoning,0.89,1900,-,1000,1000,1300,1300,1000,880,1000,880,720,880,720,-,-,$35.69,-,880
pictures of asbestos,0.53,2900,-,1300,1600,1900,1600,1900,1900,1600,1900,1900,1900,1600,-,-,$5.06,-,1600
asbestos surveys,0.72,3600,-,260,390,480,320,390,320,210,210,210,170,210,-,-,$15.68,-,260
asbestos claim,0.7,1900,-,590,880,720,590,720,1600,590,480,480,1000,390,-,-,$44.69,-,720
asbestos attorney,0.77,6600,-,3600,5400,5400,3600,5400,5400,6600,4400,3600,5400,3600,-,-,$51.05,-,4400
removing asbestos,0.56,5400,-,2400,2900,2900,2900,2900,2900,2400,2900,3600,3600,2400,-,-,$4.84,-,2900
removal of asbestos,0.74,90500,-,27100,33100,33100,33100,33100,33100,27100,33100,33100,33100,27100,-,-,$3.92,-,33100
asbestos companies,0.82,3600,-,1900,1900,1600,1900,1900,1900,1900,1900,1900,2400,1900,-,-,$10.01,-,1900
asbestos siding removal,0.73,1300,-,880,1000,1000,1000,1300,1000,1300,1300,1600,1600,1300,-,-,$4.30,-,1300
asbestos survey,0.59,9900,-,2400,1600,1600,1000,1600,1000,1300,1000,1000,1000,1000,-,-,$10.19,-,1300
asbestos tile,0.55,12100,-,12100,8100,8100,8100,9900,9900,8100,9900,9900,9900,8100,-,-,$5.37,-,9900
asbestos removal contractors,0.72,1900,-,480,390,390,390,590,480,390,480,480,720,390,-,-,$4.52,-,480
cost of asbestos removal,0.78,6600,-,1600,1900,2400,1900,2400,2400,2900,2900,3600,3600,2900,-,-,$3.54,-,2400
asbestos removal costs,0.78,6600,-,1900,2400,2400,2400,2900,2900,2900,3600,3600,4400,2900,-,-,$4.88,-,2900
asbestos contractors,0.71,4400,-,1900,1900,1900,1900,1900,1900,1900,2900,2400,2900,1900,-,-,$6.31,-,1900
asbestos regulations,0.45,12100,-,2900,2900,3600,2900,2900,2900,3600,3600,3600,3600,2900,-,-,$8.37,-,2900
asbestos removal contractor,0.74,2900,-,1600,1600,1300,1300,1600,1600,1600,1600,1600,2400,1300,-,-,$2.79,-,1600
types of asbestos,0.56,2900,-,720,720,720,720,720,590,590,590,720,590,590,-,-,$4.93,-,590
asbestos lawyer,0.82,6600,-,3600,3600,3600,2900,4400,3600,4400,3600,2900,5400,2900,-,-,$40.27,-,3600
asbestos inspection,0.69,2400,-,1300,1300,1600,1300,1300,1300,1600,1300,1600,1600,1300,-,-,$6.25,-,1300
asbestos removal company,0.77,480,-,210,320,260,260,260,210,170,210,210,260,170,-,-,$6.25,-,210
asbestos removal grants,0.68,720,-,480,390,390,390,480,390,320,390,390,320,260,-,-,$4.72,-,390
asbestos lawyers,0.84,9900,-,5400,6600,5400,4400,6600,5400,6600,5400,5400,6600,5400,-,-,$63.81,-,5400
asbestos removal jobs,0.81,1300,-,390,390,480,390,390,390,390,320,320,480,320,-,-,$5.01,-,390
asbestos surveying,0.61,12100,-,2400,1900,1900,1300,1600,1600,1300,1000,1000,1300,1300,-,-,$9.86,-,1600
asbestos claims,0.74,3600,-,880,1000,1000,1000,1600,1300,1000,1900,1000,1600,1000,-,-,$60.45,-,1300
asbestos litigation,0.75,2900,-,1900,2400,2900,2400,1900,2400,2400,1900,2400,2900,2900,-,-,$32.30,-,2400
asbestos removals,0.74,90500,-,27100,33100,33100,33100,33100,33100,27100,33100,33100,33100,27100,-,-,$12.25,-,33100
asbestos tiles,0.52,22200,-,18100,14800,14800,14800,14800,14800,14800,18100,14800,18100,12100,-,-,$3.45,-,14800
asbestos shingles,0.53,3600,-,2900,2900,3600,3600,3600,4400,3600,4400,4400,4400,2400,-,-,$6.39,-,3600
what does asbestos look like,0.51,2400,-,1600,1900,1600,1600,1600,1300,1300,1300,1300,1300,1000,-,-,$9.03,-,1600
asbestos training,0.63,14800,-,5400,5400,5400,5400,6600,5400,5400,6600,5400,6600,5400,-,-,$6.34,-,5400
asbestos attorneys,0.83,1900,-,1600,1600,1600,1300,1300,2400,1600,1600,1300,2400,1300,-,-,$67.52,-,1600
testing for asbestos,0.91,22200,-,14800,14800,14800,12100,14800,12100,12100,12100,14800,14800,12100,-,-,$7.58,-,14800
asbestos floor tile removal,0.63,18100,-,14800,14800,12100,14800,14800,14800,14800,14800,14800,18100,12100,-,-,$7.13,-,14800
asbestos disease,0.77,3600,-,1600,2400,1900,1900,1600,1600,1600,1600,1900,1900,1600,-,-,$36.00,-,1600
asbestos lawsuits,0.79,5400,-,3600,4400,3600,2900,4400,3600,4400,4400,3600,3600,2900,-,-,$67.31,-,3600
asbestos lawsuit,0.78,3600,-,2900,3600,2900,2400,3600,2900,3600,2900,2400,2900,2400,-,-,$44.02,-,2900
asbestos services,0.54,2900,-,720,720,880,720,720,720,720,720,720,880,720,-,-,$5.36,-,720
