Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
personal injury,0.76,673000,-,450000,550000,450000,450000,450000,450000,368000,450000,450000,450000,368000,-,-,$22.81,-,450000
personal injury settlements,0.63,18100,-,12100,14800,18100,18100,18100,14800,14800,14800,18100,18100,14800,-,-,$13.68,-,14800
personal injury cases,0.47,4400,-,2900,3600,2900,3600,2900,5400,1900,3600,2400,2400,1900,-,-,$9.80,-,2900
personal injury law,0.83,165000,-,135000,165000,165000,135000,135000,135000,110000,110000,135000,135000,90500,-,-,$15.89,-,135000
personal injury protection,0.37,5400,-,5400,5400,6600,5400,5400,5400,4400,5400,4400,5400,4400,-,-,$6.56,-,5400
personal injury settlement,0.58,14800,-,8100,9900,9900,12100,12100,9900,12100,9900,12100,14800,12100,-,-,$11.34,-,12100
personal injury attorney,0.85,301000,-,301000,368000,246000,246000,246000,201000,201000,201000,246000,201000,165000,-,-,$25.47,-,246000
personal injury claims,0.51,40500,-,9900,9900,12100,9900,8100,9900,8100,8100,6600,8100,6600,-,-,$51.67,-,8100
personal injury lawyer,0.85,301000,-,301000,301000,246000,246000,246000,246000,246000,246000,246000,246000,165000,-,-,$23.22,-,246000
personal injury lawyers,0.86,201000,-,201000,246000,201000,165000,165000,165000,165000,165000,165000,165000,135000,-,-,$25.01,-,165000
personal injury suits,0.71,6600,-,3600,5400,8100,8100,9900,5400,4400,4400,4400,4400,3600,-,-,$12.19,-,5400
personal injury suit,0.61,8100,-,5400,8100,14800,9900,9900,8100,6600,6600,6600,6600,5400,-,-,$9.59,-,8100
personal injury lawsuit,0.57,6600,-,3600,6600,9900,6600,6600,5400,5400,5400,5400,4400,4400,-,-,$13.37,-,5400
personal injuries,0.75,673000,-,450000,550000,450000,450000,450000,450000,368000,450000,450000,450000,368000,-,-,$15.17,-,450000
personal injury settlement calculator,0.9,2400,-,1600,1300,1600,1600,1900,2400,2400,2400,2900,2900,2400,-,-,$5.19,-,1900
personal injury solicitor,0.84,135000,-,135000,135000,110000,110000,110000,90500,90500,110000,110000,110000,74000,-,-,$26.47,-,110000
personal injury law firm,0.85,301000,-,301000,368000,301000,246000,246000,246000,246000,246000,246000,246000,201000,-,-,$14.98,-,246000
personal injury verdicts,0.46,720,-,480,720,720,590,720,590,480,590,590,720,480,-,-,$6.30,-,590
personal injury lawsuits,0.62,9900,-,5400,8100,14800,9900,12100,8100,8100,8100,8100,8100,6600,-,-,$10.70,-,8100
